"No.","Time","Source","Destination","Protocol","Length","Info"
"28461","646.929930483","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28462","646.930126749","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22069 Ack=2323424 Win=65536 Len=0"
"28463","646.930126940","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28464","646.930531716","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28465","646.932043094","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31351 Ack=3317788 Win=65536 Len=0"
"28466","646.932043364","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28467","646.932043433","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28468","646.932214518","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28469","646.932560383","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22108 Ack=2327602 Win=65536 Len=0"
"28470","646.932560613","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31390 Ack=3321966 Win=65536 Len=0"
"28471","646.933052019","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28472","646.933052152","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28473","646.933052202","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28474","646.933052249","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28475","646.933451917","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31429 Ack=3326144 Win=65536 Len=0"
"28476","646.933452051","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28477","646.933452095","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22147 Ack=2331780 Win=65536 Len=0"
"28478","646.933452133","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28479","646.933694287","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28480","646.933694418","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28481","646.933846722","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22186 Ack=2335958 Win=65536 Len=0"
"28482","646.934090926","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28483","646.934091035","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31468 Ack=3330322 Win=65536 Len=0"
"28484","646.934091076","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28485","646.934262706","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28486","646.934262834","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28487","646.934692068","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22225 Ack=2340136 Win=65536 Len=0"
"28488","646.934692220","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28489","646.934692261","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31507 Ack=3334500 Win=65536 Len=0"
"28490","646.934692302","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28491","646.934692345","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28492","646.934958089","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28493","646.934958210","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22264 Ack=2344314 Win=65536 Len=0"
"28494","646.935572229","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31546 Ack=3338678 Win=65536 Len=0"
"28495","646.935572335","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28496","646.936582331","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28497","646.940279099","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28498","646.940364818","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28499","646.940567303","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31585 Ack=3342856 Win=65536 Len=0"
"28500","646.940567473","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28501","646.940567527","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22303 Ack=2348492 Win=65536 Len=0"
"28502","646.940691604","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28503","646.941514658","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28504","646.941514815","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28505","646.941693963","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22342 Ack=2352670 Win=65536 Len=0"
"28506","646.941694062","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28507","646.941961239","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31624 Ack=3347034 Win=65536 Len=0"
"28508","646.942087978","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28509","646.951730524","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28510","646.951731223","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28511","646.952016296","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22381 Ack=2356848 Win=65536 Len=0"
"28512","646.952231709","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31663 Ack=3351212 Win=65536 Len=0"
"28513","646.952231916","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28514","646.952905339","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28515","646.953185330","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28516","646.953185460","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28517","646.953442064","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31702 Ack=3355390 Win=65536 Len=0"
"28518","646.953442237","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28519","646.953442282","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22420 Ack=2361026 Win=65536 Len=0"
"28520","646.953545283","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28521","646.954095326","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28522","646.954095455","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28523","646.954220555","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22459 Ack=2365204 Win=65536 Len=0"
"28524","646.954254213","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31741 Ack=3359568 Win=65536 Len=0"
"28525","646.954254297","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28526","646.954390238","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28527","646.954681361","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28528","646.954681534","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28529","646.955040664","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31780 Ack=3363746 Win=65536 Len=0"
"28530","646.955040776","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28531","646.955040821","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22498 Ack=2369382 Win=65536 Len=0"
"28532","646.955040863","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28533","646.955040912","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28534","646.955348943","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28535","646.955349078","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31819 Ack=3367924 Win=65536 Len=0"
"28536","646.955349130","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28537","646.955450481","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22537 Ack=2373560 Win=65536 Len=0"
"28538","646.955560502","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28539","646.956010949","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28540","646.956165718","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28541","646.956165857","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31858 Ack=3372102 Win=65536 Len=0"
"28542","646.956408777","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28543","646.956486257","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22576 Ack=2377738 Win=65536 Len=0"
"28544","646.956963315","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28545","646.956963469","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28546","646.957501572","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31897 Ack=3376280 Win=65536 Len=0"
"28547","646.957501782","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28548","646.957501819","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28549","646.957501859","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28550","646.957991907","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31936 Ack=3380458 Win=65536 Len=0"
"28551","646.957992105","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28552","646.958571981","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28553","646.959055125","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31975 Ack=3384636 Win=65536 Len=0"
"28554","646.959055263","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28555","646.959633600","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28556","646.960047661","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=32014 Ack=3388814 Win=65536 Len=0"
"28557","646.960445653","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28558","646.960445781","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=22615 Ack=2381916 Win=65536 Len=0"
"28559","646.961121342","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28560","646.961710391","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=32053 Ack=3392992 Win=65536 Len=0"
"28561","646.961710713","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28562","646.962063201","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28563","646.962606041","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=32092 Ack=3397170 Win=65536 Len=0"
"28564","646.962873323","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28565","646.963667121","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
